origin,destination,year,inflows
Czech Republic,Luxembourg,2014,87
Czech Republic,Luxembourg,2015,100
Czech Republic,Luxembourg,2016,80
Czech Republic,Netherlands,2000,278
Czech Republic,Netherlands,2001,313
Czech Republic,Netherlands,2002,251
Czech Republic,Netherlands,2003,241
Czech Republic,Netherlands,2004,454
Czech Republic,Netherlands,2005,453
Czech Republic,Netherlands,2006,471
Czech Republic,Netherlands,2007,516
Czech Republic,Netherlands,2008,660
Czech Republic,Netherlands,2009,596
Czech Republic,Netherlands,2010,701
Czech Republic,Netherlands,2011,647
Czech Republic,Netherlands,2012,616
Czech Republic,Netherlands,2013,722
Czech Republic,Netherlands,2014,816
Czech Republic,Netherlands,2015,747
Czech Republic,Netherlands,2016,777
Czech Republic,Norway,2000,51
Czech Republic,Norway,2001,49
Czech Republic,Norway,2002,67
Czech Republic,Norway,2003,62
Czech Republic,Norway,2004,100
Czech Republic,Norway,2005,98
Czech Republic,Norway,2006,135
Czech Republic,Norway,2007,184
Czech Republic,Norway,2008,185
Czech Republic,Norway,2009,195
Czech Republic,Norway,2010,238
Czech Republic,Norway,2011,252
Czech Republic,Norway,2012,253
Czech Republic,Norway,2013,277
Czech Republic,Norway,2014,256
Czech Republic,Norway,2015,209
Czech Republic,Norway,2016,163
Czech Republic,Poland,2000,120
Czech Republic,Poland,2001,170
Czech Republic,Poland,2002,267
Czech Republic,Poland,2003,250
Czech Republic,Poland,2004,227
Czech Republic,Poland,2005,209
Czech Republic,Poland,2006,101
Czech Republic,Poland,2007,205
Czech Republic,Poland,2008,146
Czech Republic,Poland,2009,176
Czech Republic,Poland,2010,195
Czech Republic,Poland,2011,205
Czech Republic,Poland,2012,185
Czech Republic,Poland,2013,215
Czech Republic,Poland,2014,216
Czech Republic,Poland,2015,223
Czech Republic,Poland,2016,229
Czech Republic,Slovak Republic,2003,638
Czech Republic,Slovak Republic,2004,1631
Czech Republic,Slovak Republic,2005,1147
Czech Republic,Slovak Republic,2006,1294
Czech Republic,Slovak Republic,2007,1239
Czech Republic,Slovak Republic,2008,1400
Czech Republic,Slovak Republic,2009,1633
Czech Republic,Slovak Republic,2010,1214
Czech Republic,Slovak Republic,2011,859
Czech Republic,Slovak Republic,2012,462
Czech Republic,Slovak Republic,2013,402
Czech Republic,Slovak Republic,2014,414
Czech Republic,Slovak Republic,2015,589
Czech Republic,Slovak Republic,2016,545
Czech Republic,Spain,2000,435
Czech Republic,Spain,2001,504
Czech Republic,Spain,2002,427
Czech Republic,Spain,2003,372
Czech Republic,Spain,2004,873
Czech Republic,Spain,2005,951
Czech Republic,Spain,2006,1346
Czech Republic,Spain,2007,1595
Czech Republic,Spain,2008,792
Czech Republic,Spain,2009,671
Czech Republic,Spain,2010,670
Czech Republic,Spain,2011,685
Czech Republic,Spain,2012,605
Czech Republic,Spain,2013,531
Czech Republic,Spain,2014,606
Czech Republic,Spain,2015,618
Czech Republic,Spain,2016,555
Czech Republic,Sweden,2000,77
Czech Republic,Sweden,2001,80
Czech Republic,Sweden,2002,99
Czech Republic,Sweden,2003,83
Czech Republic,Sweden,2004,88
Czech Republic,Sweden,2005,113
Czech Republic,Sweden,2006,170
Czech Republic,Sweden,2007,207
Czech Republic,Sweden,2008,325
Czech Republic,Sweden,2009,198
Czech Republic,Sweden,2010,164
Czech Republic,Sweden,2011,189
Czech Republic,Sweden,2012,200
Czech Republic,Sweden,2013,209
Czech Republic,Sweden,2014,210
Czech Republic,Sweden,2015,238
Czech Republic,Sweden,2016,227
Czech Republic,Switzerland,2000,500
Czech Republic,Switzerland,2001,581
Czech Republic,Switzerland,2002,400
Czech Republic,Switzerland,2003,375
Czech Republic,Switzerland,2004,333
Czech Republic,Switzerland,2005,382
Czech Republic,Switzerland,2006,371
Czech Republic,Switzerland,2007,580
Czech Republic,Switzerland,2008,698
Czech Republic,Switzerland,2009,558
Czech Republic,Switzerland,2010,529
Czech Republic,Switzerland,2011,916
Czech Republic,Switzerland,2012,779
Czech Republic,Switzerland,2013,733
Czech Republic,Switzerland,2014,1267
Czech Republic,Switzerland,2015,1152
Czech Republic,Switzerland,2016,1029
Czech Republic,United Kingdom,2011,4000
Czech Republic,United Kingdom,2012,2000
Czech Republic,United Kingdom,2013,2000
Czech Republic,United Kingdom,2014,3000
Czech Republic,United Kingdom,2015,4000
Czech Republic,Estonia,2004,1
Czech Republic,Estonia,2005,0
Czech Republic,Estonia,2006,8
Czech Republic,Estonia,2007,22
Czech Republic,Estonia,2008,17
Czech Republic,Estonia,2009,22
Czech Republic,Estonia,2010,10
Czech Republic,Estonia,2011,1
Czech Republic,Estonia,2012,0
Czech Republic,Estonia,2013,1
Czech Republic,Estonia,2014,0
Czech Republic,Estonia,2015,77
Czech Republic,Estonia,2016,79
Czech Republic,Slovenia,2007,109
Czech Republic,Slovenia,2008,113
